query_name,sources,start,end,duration_seconds,http_requests,produced_results,results_count,error
EX4-17-4-26,None,2026-04-17T14:09:27.950158,2026-04-17T14:23:28.683565,840.732696,,0,0,60
109_uniprot_transporter_in_liver_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://www.bgee.org/sparql']",2026-04-17T14:09:27.950234,2026-04-17T14:09:32.309679,4.359445,4.0,False,0,DEBUG: Server reported client-side error
19_draft_human_metabolome_ns.rq,"['https://sparql.rhea-db.org/sparql', 'https://sparql.uniprot.org/sparql']",2026-04-17T14:09:33.310921,2026-04-17T14:09:37.622112,4.311191,4.0,False,0,DEBUG: Server reported client-side error
29_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://data.allie.dbcls.jp/sparql']",2026-04-17T14:09:38.623397,2026-04-17T14:09:42.994195,4.370798,4.0,False,0,DEBUG: Server reported client-side error
36_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://sparql.orthodb.org/sparql']",2026-04-17T14:09:43.995502,2026-04-17T14:09:48.258232,4.26273,4.0,False,0,DEBUG: Server reported client-side error
40_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://sparql.rhea-db.org/sparql']",2026-04-17T14:09:49.259502,2026-04-17T14:09:53.504913,4.245411,4.0,False,0,DEBUG: Server reported client-side error
42_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://data.epo.org/linked-data/query']",2026-04-17T14:09:54.506156,2026-04-17T14:09:58.823144,4.316988,4.0,False,0,DEBUG: Server reported client-side error
43_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://data.epo.org/linked-data/query']",2026-04-17T14:09:59.824397,2026-04-17T14:10:04.183632,4.359235,5.0,False,0,DEBUG: Server reported client-side error
45_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://sparql.rhea-db.org/sparql', 'https://query.wikidata.org/sparql']",2026-04-17T14:10:05.184868,2026-04-17T14:10:10.527898,5.34303,5.0,False,0,DEBUG: Server reported client-side error
48_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://glyconnect.expasy.org/sparql']",2026-04-17T14:10:11.529181,2026-04-17T14:10:16.289829,4.760648,4.0,False,0,DEBUG: Server reported client-side error
50_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://sparql.rhea-db.org/sparql', 'https://www.bgee.org/sparql']",2026-04-17T14:10:17.291132,2026-04-17T14:10:21.543604,4.252472,5.0,False,0,DEBUG: Server reported client-side error
51_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://sparql.rhea-db.org/sparql']",2026-04-17T14:10:22.544899,2026-04-17T14:10:27.164240,4.619341,6.0,False,0,DEBUG: Server reported client-side error
53_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://sparql.rhea-db.org/sparql', 'https://sparql.omabrowser.org/sparql']",2026-04-17T14:10:28.165503,2026-04-17T14:10:32.607084,4.441581,5.0,False,0,DEBUG: Server reported client-side error
67_draft_human_metabolome_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://sparql.rhea-db.org/sparql']",2026-04-17T14:10:33.608473,2026-04-17T14:10:38.196700,4.588227,6.0,False,0,DEBUG: Server reported client-side error
92_uniprot_bioregistry_iri_translation_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://bioregistry.io/sparql']",2026-04-17T14:10:39.197986,2026-04-17T14:10:43.702428,4.504442,4.0,False,0,DEBUG: Server reported client-side error
016_ns.rq,"['https://www.bgee.org/sparql', 'https://sparql.uniprot.org/sparql', 'https://sparql.omabrowser.org/sparql']",2026-04-17T14:10:43.702786,2026-04-17T14:10:48.200182,4.497396,5.0,False,0,DEBUG: Server reported client-side error
017_ns.rq,"['https://www.bgee.org/sparql', 'https://sparql.uniprot.org/sparql']",2026-04-17T14:10:49.201563,2026-04-17T14:10:53.699124,4.497561,4.0,False,0,DEBUG: Server reported client-side error
019_ns.rq,"['https://www.bgee.org/sparql', 'https://sparql.omabrowser.org/sparql']",2026-04-17T14:10:54.700502,2026-04-17T14:11:20.248178,25.547676,6.0,False,0,fetch failed
020_ns.rq,"['https://www.bgee.org/sparql', 'https://sparql.omabrowser.org/sparql']",2026-04-17T14:11:21.249479,2026-04-17T14:11:46.504104,25.254625,6.0,False,0,fetch failed
16_ns.rq,"['https://beta.sparql.swisslipids.org/sparql', 'https://sparql.rhea-db.org/sparql', 'https://sparql.uniprot.org/sparql']",2026-04-17T14:11:47.505485,2026-04-17T14:11:51.916733,4.411248,5.0,False,0,DEBUG: Server reported client-side error
17_ns.rq,"['https://sparql.orthodb.org/sparql', 'https://sparql.uniprot.org/sparql']",2026-04-17T14:11:52.918118,2026-04-17T14:11:57.410249,4.492131,6.0,False,0,DEBUG: Server reported client-side error
18_ns.rq,"['https://sparql.orthodb.org/sparql', 'https://sparql.nextprot.org']",2026-04-17T14:11:58.411527,2026-04-17T14:12:03.939844,5.528317,42.0,False,0,Unknown SPARQL results content type: text/html
19_ns.rq,"['https://sparql.orthodb.org/sparql', 'https://sparql.uniprot.org/sparql', 'https://sparql.rhea-db.org/sparql']",2026-04-17T14:12:04.941107,2026-04-17T14:12:09.351808,4.410701,7.0,False,0,DEBUG: Server reported client-side error
26_ns.rq,"['https://beta.sparql.swisslipids.org/sparql', 'https://sparql.rhea-db.org/sparql', 'https://sparql.uniprot.org/sparql']",2026-04-17T14:12:10.353220,2026-04-17T14:12:14.765928,4.412708,5.0,False,0,DEBUG: Server reported client-side error
27_ns.rq,"['https://beta.sparql.swisslipids.org/sparql', 'https://sparql.rhea-db.org/sparql', 'https://sparql.uniprot.org/sparql']",2026-04-17T14:12:15.767214,2026-04-17T14:12:20.224339,4.457125,5.0,False,0,DEBUG: Server reported client-side error
