query_name,sources,start,end,duration_seconds,http_requests,produced_results,results_count,error
27_ns.rq,"['https://beta.sparql.swisslipids.org/sparql', 'https://sparql.rhea-db.org/sparql', 'https://sparql.uniprot.org/sparql']",2025-10-31T17:10:00.905653,2025-10-31T17:11:33.740358,92.834705,71.0,False,0,Aborted
018_ns.rq,"['https://www.bgee.org/sparql', 'https://sparql.omabrowser.org/sparql']",2025-10-28T08:14:34.354377,2025-10-28T08:18:43.376164,249.021787,267.0,False,0,DEBUG: Server-side error encountered
18_ns.rq,"['https://sparql.rhea-db.org/sparql', 'https://idsm.elixir-czech.cz/sparql/endpoint/chebi']",2025-10-28T08:18:44.377212,2025-10-28T08:18:48.683067,4.305855,31.0,False,0,Unknown SPARQL results content type: text/html
emi#examples019b_ns.rq,"['https://biosoda.unil.ch/emi/sparql', 'https://qlever.cs.uni']",2025-10-28T08:18:49.683996,2025-10-28T08:18:53.913050,4.229054,4.0,False,0,DEBUG: Server-side error encountered
11_ns.rq,"['https://sparql.rhea-db.org/sparql', 'https://sparql.uniprot.org/sparql']",2025-10-28T08:18:54.913700,2025-10-28T08:19:58.088489,63.174789,11.0,False,0,FATAL ERROR: Reached heap limit Allocation failed
emi#examples019a_ns.rq,"['https://biosoda.unil.ch/emi/sparql', 'https://qlever.cs.uni']",2025-10-28T08:19:59.089486,2025-10-28T08:20:03.251122,4.161636,4.0,False,0,DEBUG: Server-side error encountered
emi#examples011a_ns.rq,"['https://biosoda.unil.ch/emi/sparql', 'https://qlever.cs.uni']",2025-10-28T08:20:04.252141,2025-10-28T08:20:08.431556,4.179415,4.0,False,0,DEBUG: Server-side error encountered
009_ns.rq,"['https://biosoda.unil.ch/emi/sparql', 'https://query.wikidata.org/sparql']",2025-10-28T08:20:09.432550,2025-10-28T08:20:13.588932,4.156382,4.0,False,0,DEBUG: Server-side error encountered
001_ns.rq,"['https://biosoda.unil.ch/emi/sparql', 'https://query.wikidata.org/sparql']",2025-10-28T08:20:14.590008,2025-10-28T08:20:18.700754,4.110746,4.0,False,0,DEBUG: Server-side error encountered
3_ns.rq,"['https://sparql.omabrowser.org/sparql', 'https://sparql.uniprot.org/sparql']",2025-10-28T08:20:19.701829,2025-10-28T09:40:22.824373,4803.122544,27048.0,False,0,DEBUG: Server reported client-side error
006_ns.rq,"['https://biosoda.unil.ch/emi/sparql', 'https://query.wikidata.org/sparql']",2025-10-28T09:40:23.825423,2025-10-28T09:40:28.065904,4.240481,4.0,False,0,DEBUG: Server-side error encountered
