query_name,sources,start,end,duration_seconds,produced_results,results_count,error
016_ns.rq,"['https://www.bgee.org/sparql', 'https://sparql.uniprot.org/sparql', 'https://sparql.omabrowser.org/sparql']",2025-09-05T18:48:18.416391,2025-09-05T18:48:22.782707,4.366316,False,0,Request failed: https://www.bgee.org/sparql
15-rat-TP53-biosodafrontend_ns.rq,"['https://sparql.omabrowser.org/sparql', 'https://sparql.uniprot.org/sparql']",2025-09-08T14:25:01.122774,2025-09-08T14:25:30.391836,29.269062,False,0,terminated
emi#examples018_ns.rq,"['https://biosoda.unil.ch/emi/sparql', 'https://qlever.cs.uni']",2025-09-08T14:25:31.392945,2025-09-08T14:25:35.554084,4.161139,False,0,Request failed: https://biosoda.unil.ch/emi/sparql
emi#examples019b_ns.rq,"['https://biosoda.unil.ch/emi/sparql', 'https://qlever.cs.uni']",2025-09-08T14:25:36.555130,2025-09-08T14:25:40.757300,4.20217,False,0,Request failed: https://biosoda.unil.ch/emi/sparql
116_biosodafrontend_rabit_mouse_orthologs_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://sparql.omabrowser.org/sparql']",2025-09-08T14:25:41.758277,2025-09-08T14:26:29.311303,47.553026,False,0,terminated
emi#examples019a_ns.rq,"['https://biosoda.unil.ch/emi/sparql', 'https://qlever.cs.uni']",2025-09-08T14:26:30.312313,2025-09-08T14:26:34.442667,4.130354,False,0,Request failed: https://biosoda.unil.ch/emi/sparql
emi#examples011a_ns.rq,"['https://biosoda.unil.ch/emi/sparql', 'https://qlever.cs.uni']",2025-09-08T14:26:35.443695,2025-09-08T14:26:39.582267,4.138572,False,0,Request failed: https://biosoda.unil.ch/emi/sparql
emi#examples015_ns.rq,"['https://biosoda.unil.ch/emi/sparql', 'https://qlever.cs.uni']",2025-09-08T14:26:40.583252,2025-09-08T14:26:44.723676,4.140424,False,0,Request failed: https://biosoda.unil.ch/emi/sparql
emi#examples012_ns.rq,"['https://biosoda.unil.ch/emi/sparql', 'https://qlever.cs.uni']",2025-09-08T14:26:45.724686,2025-09-08T14:26:49.875176,4.15049,False,0,Request failed: https://biosoda.unil.ch/emi/sparql
009_ns.rq,"['https://biosoda.unil.ch/emi/sparql', 'https://query.wikidata.org/sparql']",2025-09-08T14:26:50.876169,2025-09-08T14:27:28.714810,37.838641,False,0,Node.js v22.17.0
emi#examples013_ns.rq,"['https://biosoda.unil.ch/emi/sparql', 'https://qlever.cs.uni']",2025-09-08T14:27:29.715883,2025-09-08T14:27:33.970421,4.254538,False,0,Request failed: https://biosoda.unil.ch/emi/sparql
007_ns.rq,"['https://biosoda.unil.ch/emi/sparql', 'https://query.wikidata.org/sparql']",2025-09-08T14:27:34.971445,2025-09-08T14:27:39.844827,4.873382,False,0,Request failed: https://biosoda.unil.ch/emi/sparql
emi#examples021_ns.rq,"['https://biosoda.unil.ch/emi/sparql', 'https://qlever.cs.uni']",2025-09-08T14:27:40.845858,2025-09-08T14:27:44.961792,4.115934,False,0,Request failed: https://biosoda.unil.ch/emi/sparql
emi#examples011b_ns.rq,"['https://biosoda.unil.ch/emi/sparql', 'https://qlever.cs.uni']",2025-09-08T14:27:45.962815,2025-09-08T14:27:50.054499,4.091684,False,0,Request failed: https://biosoda.unil.ch/emi/sparql
