query_name,sources,start,end,duration_seconds,http_requests,produced_results,results_count,error
EX3-12-06-26,None,2026-06-12T10:50:26.907171,2026-06-12T10:57:50.476338,443.568232,,0,0,60
109_uniprot_transporter_in_liver_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://www.bgee.org/sparql']",2026-06-12T10:50:26.907328,2026-06-12T10:50:31.881957,4.974629,5.0,False,0,DEBUG: Server reported client-side error
19_draft_human_metabolome_ns.rq,"['https://sparql.rhea-db.org/sparql', 'https://sparql.uniprot.org/sparql']",2026-06-12T10:50:32.883350,2026-06-12T10:50:38.142794,5.259444,4.0,False,0,DEBUG: Server reported client-side error
29_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://data.allie.dbcls.jp/sparql']",2026-06-12T10:50:39.144231,2026-06-12T10:50:44.081050,4.936819,4.0,False,0,DEBUG: Server reported client-side error
36_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://sparql.orthodb.org/sparql']",2026-06-12T10:50:45.082435,2026-06-12T10:50:50.129930,5.047495,4.0,False,0,DEBUG: Server reported client-side error
40_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://sparql.rhea-db.org/sparql']",2026-06-12T10:50:51.131321,2026-06-12T10:50:56.539736,5.408415,4.0,False,0,DEBUG: Server reported client-side error
42_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://data.epo.org/linked-data/query']",2026-06-12T10:50:57.541074,2026-06-12T10:51:02.639753,5.098679,4.0,False,0,DEBUG: Server reported client-side error
43_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://data.epo.org/linked-data/query']",2026-06-12T10:51:03.641092,2026-06-12T10:51:08.814199,5.173107,4.0,False,0,DEBUG: Server reported client-side error
45_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://sparql.rhea-db.org/sparql', 'https://query.wikidata.org/sparql']",2026-06-12T10:51:09.815629,2026-06-12T10:51:15.033350,5.217721,5.0,False,0,DEBUG: Server reported client-side error
48_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://glyconnect.expasy.org/sparql']",2026-06-12T10:51:16.034718,2026-06-12T10:51:21.070557,5.035839,4.0,False,0,DEBUG: Server reported client-side error
50_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://sparql.rhea-db.org/sparql', 'https://www.bgee.org/sparql']",2026-06-12T10:51:22.071906,2026-06-12T10:51:27.734381,5.662475,6.0,False,0,DEBUG: Server reported client-side error
51_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://sparql.rhea-db.org/sparql']",2026-06-12T10:51:28.735728,2026-06-12T10:51:33.736914,5.001186,4.0,False,0,DEBUG: Server reported client-side error
53_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://sparql.rhea-db.org/sparql', 'https://sparql.omabrowser.org/sparql']",2026-06-12T10:51:34.738308,2026-06-12T10:51:40.042164,5.303856,5.0,False,0,DEBUG: Server reported client-side error
67_draft_human_metabolome_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://sparql.rhea-db.org/sparql']",2026-06-12T10:51:41.043521,2026-06-12T10:51:46.093991,5.05047,4.0,False,0,DEBUG: Server reported client-side error
92_uniprot_bioregistry_iri_translation_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://bioregistry.io/sparql']",2026-06-12T10:51:47.095466,2026-06-12T10:51:52.260620,5.165154,4.0,False,0,DEBUG: Server reported client-side error
