query_name,sources,start,end,duration_seconds,http_requests,produced_results,results_count,error
118_biosodafrontend_rat_brain_human_cancer_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://sparql.omabrowser.org/sparql', 'https://www.bgee.org/sparql']",2026-04-17T16:40:12.874955,2026-04-17T16:40:17.747182,4.872227,27.0,False,0,DEBUG: Server reported client-side error
15-rat-TP53-biosodafrontend_ns.rq,"['https://sparql.omabrowser.org/sparql', 'https://sparql.uniprot.org/sparql']",2026-04-17T16:40:18.748485,2026-04-17T16:40:23.176522,4.428037,3.0,False,0,DEBUG: Server reported client-side error
emi#examples012_ns.rq,"['https://biosoda.unil.ch/emi/sparql', 'https://qlever.cs.uni']",2026-04-17T16:40:24.177837,2026-04-17T16:40:28.770410,4.592573,5.0,False,0,DEBUG: Server reported client-side error
emi#examples013_ns.rq,"['https://biosoda.unil.ch/emi/sparql', 'https://qlever.cs.uni']",2026-04-17T16:40:29.771688,2026-04-17T16:40:34.314353,4.542665,5.0,False,0,DEBUG: Server reported client-side error
emi#examples015_ns.rq,"['https://biosoda.unil.ch/emi/sparql', 'https://qlever.cs.uni']",2026-04-17T16:40:35.315727,2026-04-17T16:40:39.887517,4.57179,5.0,False,0,DEBUG: Server reported client-side error
emi#examples018_ns.rq,"['https://biosoda.unil.ch/emi/sparql', 'https://qlever.cs.uni']",2026-04-17T16:40:40.888880,2026-04-17T16:40:45.655787,4.766907,5.0,False,0,DEBUG: Server reported client-side error
emi#examples021_ns.rq,"['https://biosoda.unil.ch/emi/sparql', 'https://qlever.cs.uni']",2026-04-17T16:40:46.657062,2026-04-17T16:40:51.381528,4.724466,5.0,False,0,DEBUG: Server reported client-side error
002_ns.rq,"['https://biosoda.unil.ch/emi/sparql', 'https://idsm.elixir-czech.cz/sparql/endpoint/wikidata']",2026-04-17T16:40:51.381980,2026-04-17T16:40:56.022032,4.640052,6.0,False,0,DEBUG: Server reported client-side error
52_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://sparql.rhea-db.org/sparql', 'https://idsm.elixir-czech.cz/sparql/endpoint/idsm']",2026-04-17T16:40:57.023335,2026-04-17T16:41:01.539679,4.516344,37.0,False,0,DEBUG: Server reported client-side error
54_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://idsm.elixir-czech.cz/sparql/endpoint/chebi']",2026-04-17T16:41:02.540962,2026-04-17T16:41:07.126928,4.585966,4.0,False,0,DEBUG: Server reported client-side error
60_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://idsm.elixir-czech.cz/sparql/endpoint/chebi', 'https://sparql.rhea-db.org/sparql']",2026-04-17T16:41:08.128204,2026-04-17T16:41:12.604796,4.476592,19.0,False,0,DEBUG: Server reported client-side error
70_enzymes_interacting_with_molecules_similar_to_dopamine_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://idsm.elixir-czech.cz/sparql/endpoint/chebi']",2026-04-17T16:41:13.606095,2026-04-17T16:41:18.325479,4.719384,4.0,False,0,DEBUG: Server reported client-side error
71_enzymes_interacting_with_molecules_similar_to_dopamine_with_variants_related_to_disease_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://idsm.elixir-czech.cz/sparql/endpoint/chebi']",2026-04-17T16:41:19.326807,2026-04-17T16:41:23.704393,4.377586,4.0,False,0,DEBUG: Server reported client-side error
